Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,,N
764,"Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Calle Lote 17 San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,Ambos,60,0,1,Nivel 1,83,22,79.04761905,VERDADERO,,1
771,Inscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",Social,10,0,6,Nivel 1,13307,0,100,VERDADERO,,6
778,Constancia de Persona Concesionaria y/o Permisionaria,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Avenida 205 Sistema de Transporte Convencional 42083 Pachuca De Soto Pachuca De Soto,Social,,1,2,,0,0,0,VERDADERO,,3
795,Inscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera s/n El Nith 42300 Ixmiquilpan Ixmiquilpan,Social,1440,0,2,Nivel 1,1482,0,100,VERDADERO,,2
796,Reinscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera s/n El Nith 42300 Ixmiquilpan Ixmiquilpan,Social,1440,0,1,Nivel 1,5294,0,100,VERDADERO,,1
827,Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Calle 205 Sistema de Transporte Convencional 42083 Pachuca De Soto Pachuca De Soto,Social,,1,10,,0,0,0,VERDADERO,,11
862,Mediación y Conciliación en Materia Penal,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Colonias 42082 Pachuca De Soto Pachuca De Soto,Ambos,15,0,2,Nivel 3.1,8548,8013,51.61524063,FALSO,,2
913,Inscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,2880,0,1,Nivel 4.2,674,0,100,VERDADERO,,1
917,Admisión UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,2880,0,3,Nivel 4.2,1482,0,100,VERDADERO,,3
944,Inscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,30,1,4,Nivel 2,114,0,100,VERDADERO,,5
947,Reinscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,15,0,2,Nivel 1,4400,0,100,VERDADERO,,2
954,Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle Lt 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,,0,2,Nivel 3.1,136,0,100,VERDADERO,,2
960,Autorización para el trabajo de mayores de 15 años y menores de 16,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,Social,,2,4,,0,0,0,FALSO,,6
