Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Cambio de nombre del titular de contrato de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,1.0,,1.0,1,0.04178453998292173
Expedición de Historial Académico Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.23479008726776826
Constitución de Sociedades Cooperativas y Sociedades de Responsabilidad Limitada Microindustrial o Artesanal.,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,,0.0,2,-0.5158541280634747
Autorizaciones provisionales para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,9.0,2.0,Nivel 2,1.0,3,0.8881490526817328
"Titulación Nivel Licenciatura, Grado Académico Maestría y Especialidad UNIDEH.",Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,30.0,4.0,0.0,,1.0,1,0.1768027978507736
Refrendo anual de registro de perito valuador,Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,,1.0,3,1.137883312327614
Becas Institucionales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,87840.0,2.0,0.0,Nivel 1,0.0,2,-0.0549128914095375
Vinculación al Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,7200.0,1.0,1.0,,0.0,2,-0.23634934531040472
Ficha para Examen de Admisión UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,80.0,2.0,0.0,Nivel 3.7,1.0,0,-0.5248983416264054
Expedición de Credencial Escolar Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,1,-0.23479008726776826
Inscripción registro de perito Topográfo (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,Nivel 1,1.0,3,0.9611157916536444
Consulta Documental en temas de Población,Secretaría de Gobierno,Consejo Estatal de Población,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.5799385156548489
Historial Académico UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,1,-0.2935094267213731
Información de Predios con Potencial para el Desarrollo de Parques Industriales.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
Constancia de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,1,0.1407274597461186
"Capacitaciones, platicas o talleres sobre el cuidado y la conservación de la biodiversidad",Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,2,-0.45273094398081115
Estudio de prefactibilidad en polígonos para proyectos energéticos.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,36000.0,3.0,1.0,Nivel 1,1.0,1,0.33190694684087235
Servicios de Equinoterapia UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,60.0,3.0,0.0,Nivel 1,1.0,1,-0.07333044761603147
"Atención psicológica a mujeres en situación de violencia de género y, en su caso, a sus hijas e hijos menores de edad.",Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.5799385156548489
Sanitarios con Biodigestor Para Población Indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,2,-0.27596342330684154
Revalidación de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,11520.0,5.0,1.0,Nivel 4.1,1.0,0,-0.12217184923062248
Arrendamiento de salas y espacios en el Parque Científico y Tecnológico de Hidalgo (PCYTH),Organismos No Sectorizados,"Consejo de Ciencia, Tecnología e Innovación de Hidalgo (CITNOVA)",1440.0,0.0,0.0,Nivel 1,1.0,1,-0.025164856492935584
